consideration_offered,shares_acquired,shares_at_announcement,acquiror_code,target_code,target_status,acquisition_count,bidder_count,month,cross_border,relatedness,economic_sector_ac,business_sector_ac,economic_sector_target,business_sector_target,car_1,car_3,car_5,car_10
Cash,not_full,no,53101010,57201020,others,8,1,2,national,not_related,Consumer Cyclicals,Automobiles & Auto Parts,Technology,Software & IT Services,0.002318433296819,-0.0010116951812181,-0.0027424036729611,0.0308838910157116
Other,full,no,55301010,55102010,others,454,1,2,cross_border,economic_sector,Financials,Insurance,Financials,Banking & Investment Services,-0.0017330475270674,0.0120467129966969,0.0236373985036004,0.011068907371723
Other,full,no,55301010,57201020,others,455,1,2,cross_border,not_related,Financials,Insurance,Technology,Software & IT Services,-0.0017330475270674,0.0120467129966969,0.0236373985036004,0.011068907371723
Other,full,no,55301020,54201030,others,16,1,2,cross_border,not_related,Financials,Insurance,Consumer Non-Cyclicals,Personal & Household Products & Services,-0.0038826769806664,-0.0107578545573284,-0.0055756715661002,-0.0146033539942638
Other,full,no,55101030,55101030,others,16,1,2,cross_border,industry,Financials,Banking & Investment Services,Financials,Banking & Investment Services,0.0017543251437565,-0.0019218884441404,-0.0103380952937786,-0.0044178382543558
Other,full,no,50102030,50101010,others,0,1,2,cross_border,business_sector,Energy,Energy - Fossil Fuels,Energy,Energy - Fossil Fuels,0.0339743034889895,0.0154820797941913,0.1336125700577096,0.122070311261268
Other,full,no,57201010,57201030,others,2,1,2,cross_border,industry_group,Technology,Software & IT Services,Technology,Software & IT Services,-0.0387253923497133,-0.0369689181074054,-0.0369689181074054,0.0202494110028618
Other,full,no,53403020,54201030,others,27,1,2,cross_border,not_related,Consumer Cyclicals,Retailers,Consumer Non-Cyclicals,Personal & Household Products & Services,0.0142302513494301,0.0346388036561705,0.0346388036561705,0.0227237283133588
Cash,not_full,no,51301010,51301010,public,11,1,2,cross_border,industry,Basic Materials,Applied Resources,Basic Materials,Applied Resources,0.0943934560973153,0.0559528027964041,0.0559528027964041,0.0414347396302482
Other,full,no,50102020,50102030,others,5,1,2,cross_border,industry_group,Energy,Energy - Fossil Fuels,Energy,Energy - Fossil Fuels,0.0118564143242047,0.0254481527075831,0.0254481527075831,0.0220453404747243
Other,full,no,60101010,60101010,others,0,1,2,cross_border,industry,Real Estate,Real Estate,Real Estate,Real Estate,-0.0576585732618374,-0.0659204639685749,-0.0805417260949967,-0.0340345075926716
Cash,full,no,57201020,57201020,others,5,1,2,national,industry,Technology,Software & IT Services,Technology,Software & IT Services,-0.0048408064513293,0.0235393874160325,0.0228631249670756,-0.1784321259782342
Cash,full,no,60101010,60101010,others,1,1,2,cross_border,industry,Real Estate,Real Estate,Real Estate,Real Estate,-0.0576585732618374,-0.0659204639685749,-0.0805417260949967,-0.0340345075926716
Cash,full,no,52102020,52102020,others,24,1,2,cross_border,industry,Industrials,Industrial Goods,Industrials,Industrial Goods,0.0165663401253201,0.0163826204301581,0.025162052714819,0.1128886294952428
Other,full,no,56201040,56101020,others,64,1,2,national,economic_sector,Healthcare,Pharmaceuticals & Medical Research,Healthcare,Healthcare Services & Equipment,-0.0004142411043097,0.0021966719468193,0.0035275921421583,0.005622122341871
Other,full,no,57101010,57201020,others,174,1,2,national,economic_sector,Technology,Technology Equipment,Technology,Software & IT Services,-0.0026531636429822,0.015859144986618,0.0356366720971075,0.0446670914539443
Other,full,no,56102010,56102010,others,51,1,2,cross_border,industry,Healthcare,Healthcare Services & Equipment,Healthcare,Healthcare Services & Equipment,-0.1002129264876426,-0.0894344778813729,-0.0904480928402746,-0.1093711106762396
Cash,not_full,no,57201020,57201020,others,56,1,2,cross_border,industry,Technology,Software & IT Services,Technology,Software & IT Services,0.0509578633754514,0.0751846940758537,0.0948196918025703,0.1057421557097798
Other,full,no,53101020,52102030,others,15,1,2,cross_border,not_related,Consumer Cyclicals,Automobiles & Auto Parts,Industrials,Industrial Goods,0.0133832466653692,0.0067220461484327,0.0237749659153653,0.0125717362631286
